title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date
Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,Namco Bandai Games,5.7,0.19,0.1,0.04,0.04,0.01,2011-07-26
Tekken Tag Tournament 2,WiiU,Fighting,Namco Bandai Games,Bandai Namco Games,8.1,0.19,0.09,0.01,0.07,0.01,2012-11-18
Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,Monolith Soft,6.6,0.19,0.06,0.09,0.04,0.01,2016-02-16
Valkyria Chronicles 4,NS,Strategy,Sega,Sega,8.6,0.19,0.12,0.02,0.04,0.02,2018-09-25
Shadows of the Damned,X360,Action,Electronic Arts,Grasshopper Manufacture,7.6,0.19,0.1,0.01,0.06,0.02,2011-06-21
Earth Defense Force: Insect Armageddon,X360,Shooter,D3 Publisher,Vicious Cycle,6.7,0.19,0.1,0.03,0.04,0.01,2011-07-05
Armored Core: For Answer,PS3,Simulation,Ubisoft,From Software,6.1,0.19,0.06,0.1,0.02,0.01,2008-09-16
Samurai Warriors: State of War,PSP,Action,KOEI,Omega Force,6.5,0.19,0.07,0.11,0.0,0.01,2006-03-07
50 Cent: Blood on the Sand,PS3,Shooter,THQ,Swordfish Studios,7.2,0.19,0.1,0.01,0.06,0.03,2009-02-24
Dynasty Warriors Gundam,X360,Action,Namco Bandai,Omega Force,6.0,0.19,0.15,0.02,0.01,0.01,2007-08-28
Dynasty Warriors: Gundam 2,X360,Action,Namco Bandai,Omega Force,5.6,0.19,0.07,0.08,0.03,0.01,2009-04-21
Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,Nintendo EPD,8.5,0.19,0.06,0.08,0.04,0.01,2018-07-13
Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,Capcom,8.5,0.19,0.12,0.01,0.04,0.02,2018-05-29
Majin and the Forsaken Kingdom,X360,Adventure,Namco Bandai,Game Republic,7.0,0.19,0.14,0.0,0.03,0.01,2010-11-30
Space Invaders Extreme 2,DS,Shooter,Taito,Taito Corporation,8.1,0.19,0.17,0.0,0.01,0.01,2009-10-20
Disgaea DS,DS,Role-Playing,NIS America,Nippon Ichi Software,8.0,0.18,0.11,0.05,0.01,0.01,2008-09-23
Ar tonelico 2: Melody of Metafalica,PS2,Role-Playing,NIS America,Gust,7.2,0.18,0.04,0.11,0.03,0.01,2009-01-20
Trinity Universe,PS3,Role-Playing,NIS America,Nippon Ichi Software / Gust,6.2,0.18,0.07,0.03,0.06,0.02,2010-06-29
Call of Juarez,X360,Shooter,Ubisoft,Techland,6.9,0.18,0.14,0.0,0.02,0.01,2007-06-07
Metal Gear Ac!d 2,PSP,Strategy,Konami,Kojima Productions,8.3,0.18,0.11,0.05,0.01,0.01,2006-03-21
Velvet Assassin,X360,Shooter,SouthPeak Interactive,Replay Studios,5.3,0.18,0.14,0.01,0.02,0.01,2009-04-30
Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,Atlus,8ing/Raizing,4.3,0.18,0.11,0.05,0.02,0.01,2010-11-16
Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,Omega Force,6.5,0.18,0.11,0.02,0.03,0.01,2011-06-28
The Munchables,Wii,Action,Namco Bandai,Namco Bandai Games,8.0,0.18,0.17,0.0,0.0,0.01,2009-05-26
Resident Evil: Revelations,PS4,Action,Capcom,Capcom,7.2,0.18,0.06,0.04,0.06,0.02,2017-08-29
Clock Tower II: The Struggle Within,PS,Adventure,Agetec,Human Entertainment,4.4,0.17,0.02,0.12,0.01,0.01,1999-10-31
Bomberman Land,Wii,Misc,Hudson Soft,Hudson Soft,6.0,0.17,0.11,0.03,0.02,0.01,2008-01-29
Let's TAP,Wii,Misc,Sega,PROPE,7.0,0.17,0.08,0.01,0.06,0.02,2009-06-16
Cubivore: Survival of the Fittest,GC,Adventure,Atlus,Saru Brunei / Intelligent Systems,7.1,0.17,0.01,0.15,0.0,0.0,2002-11-05
The Cursed Crusade,PS3,Action,Atlus,Kylotonn Entertainment,4.0,0.17,0.07,0.01,0.07,0.02,2011-10-25
Lost Kingdoms,GC,Role-Playing,Activision,From Software,7.3,0.17,0.1,0.04,0.02,0.0,2002-05-27
Zoo Keeper,DS,Puzzle,Ignition Entertainment,"Buddiez, Inc.",7.2,0.17,0.1,0.05,0.01,0.01,2005-01-18
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,Monolith Soft,7.5,0.16,0.08,0.02,0.05,0.01,2018-09-21
Castlevania Judgment,Wii,Fighting,Konami,Konami / Eighting,4.6,0.16,0.12,0.01,0.02,0.01,2008-11-18
Guilty Gear Judgment,PSP,Fighting,Majesco,Arc System Works,7.5,0.16,0.13,0.02,0.0,0.01,2006-09-05
Custom Robo Arena,DS,Fighting,Nintendo,Noise Inc.,7.4,0.16,0.01,0.12,0.02,0.0,2007-03-19
Innocent Life: A Futuristic Harvest Moon,PSP,Simulation,Natsume,ArtePiazza,6.5,0.16,0.08,0.03,0.03,0.02,2007-05-15
Arcana Heart,PS2,Fighting,Atlus,Examu Inc.,8.1,0.16,0.06,0.04,0.05,0.02,2008-04-10
Marble Saga: Kororinpa,Wii,Puzzle,Konami,Hudson Soft,7.4,0.16,0.09,0.0,0.05,0.01,2009-03-17
The King of Fighters XII,PS3,Fighting,Ignition Entertainment,SNK Playmore Corporation,6.0,0.16,0.11,0.03,0.01,0.01,2009-07-28
Klonoa,Wii,Platform,Namco Bandai,Paon Corporation,7.6,0.16,0.1,0.03,0.02,0.01,2009-05-05
El Shaddai: Ascension of the Metatron,X360,Action,Ignition Entertainment,Ignition Entertainment,8.0,0.16,0.07,0.03,0.05,0.01,2011-08-16
Gravity Rush Remastered,PS4,Action-Adventure,Sony Computer Entertainment,Bluepoint Games,7.9,0.16,0.02,0.05,0.06,0.02,2016-02-02
Naruto Powerful Shippuden,3DS,Action-Adventure,Namco Bandai Games,Namco Bandai Games,8.0,0.16,0.08,0.04,0.02,0.01,2013-03-05
Castlevania: Lords of Shadow - Mirror of Fate,3DS,Action-Adventure,Konami Digital Entertainment,Mercury Steam,7.2,0.16,0.04,0.03,0.08,0.01,2013-03-05
Clash of the Titans: The Videogame,X360,Action,Namco Bandai,Game Republic,3.8,0.16,0.08,0.0,0.06,0.02,2010-07-27
Fist of the North Star: Ken's Rage,X360,Action,Tecmo Koei,Tecmo Koei Games,5.4,0.16,0.07,0.06,0.02,0.01,2010-11-02
Dragon Ball: Origins 2,DS,Action,Namco Bandai,Game Republic,6.9,0.16,0.05,0.08,0.02,0.01,2010-06-22
Konami Krazy Racers,GBA,Racing,Konami,KCEK,7.7,0.16,0.09,0.04,0.03,0.0,2001-06-10
Metroid Prime: Federation Force,3DS,Action,Nintendo,Next Level Games,6.3,0.15,0.08,0.03,0.02,0.01,2016-08-19
FIFA 06: Road to FIFA World Cup,X360,Sports,EA Sports,EA Canada,6.1,0.15,0.11,0.01,0.02,0.01,2005-11-16
Project Sylpheed: Arc of Deception,X360,Shooter,Microsoft,Game Arts / Seta Corporation,6.7,0.15,0.12,0.02,0.01,0.01,2007-07-10
Armored Core: For Answer,X360,Simulation,Ubisoft,From Software,6.5,0.15,0.06,0.07,0.01,0.01,2008-09-16
Space Invaders Extreme,DS,Shooter,Square Enix,Taito Corporation,8.3,0.15,0.12,0.01,0.01,0.01,2008-06-17
Cave Story 3D,3DS,Platform,NIS America,Nicalis,8.2,0.15,0.09,0.01,0.03,0.01,2011-11-08
Gear.Club Unlimited,NS,Racing,Microids,Eden Games,6.1,0.15,0.1,0.01,0.03,0.01,2017-11-21
Metal Slug 7,DS,Shooter,Ignition Entertainment,SNK Playmore Corporation,6.9,0.14,0.12,0.01,0.0,0.01,2008-11-18
Just Cause,X360,Action,Eidos Interactive,Avalanche Studios,7.3,0.14,0.1,0.01,0.03,0.01,2006-09-27
X-Blades,X360,Action,SouthPeak Interactive,Gaijin Entertainment,6.0,0.14,0.1,0.02,0.02,0.01,2009-02-10
Naruto Shippuden: Kizuna Drive,PSP,Action,Namco Bandai,Bandai Namco Games,7.0,0.14,0.04,0.05,0.03,0.02,2011-03-22
X-Blades,PS3,Action,SouthPeak Interactive,Gaijin Entertainment,5.9,0.14,0.07,0.02,0.03,0.01,2009-02-10
Rodea the Sky Soldier,WiiU,Action-Adventure,NIS America,Kadokawa Games,7.0,0.14,0.1,0.01,0.02,0.01,2015-11-10
Metal Gear Solid V: Ground Zeroes,X360,Action-Adventure,Konami Digital Entertainment,Kojima Productions,8.3,0.14,0.06,0.01,0.05,0.01,2014-03-18
Victorious Boxers: Revolution,Wii,Fighting,Xseed Games,Cavia Inc.,5.8,0.14,0.07,0.06,0.0,0.01,2007-10-23
Secret Agent Clank,PSP,Platform,Sony Computer Entertainment,High Impact Games,7.0,0.14,0.04,0.04,0.04,0.02,2008-06-17
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,Fighting,Bandai,Aki Corporation,8.0,0.14,0.04,0.08,0.01,0.0,2003-06-05
TRINITY: Souls of Zill O'll,PS3,Role-Playing,Tecmo Koei,Omega Force,5.5,0.14,0.06,0.03,0.03,0.01,2011-02-08
Eat Lead: The Return of Matt Hazard,PS3,Shooter,D3 Publisher,Vicious Cycle,5.3,0.13,0.09,0.0,0.02,0.01,2009-02-26
BlazBlue: Continuum Shift II,PSP,Fighting,Aksys Games,Arc System Works,7.5,0.13,0.03,0.07,0.02,0.01,2011-05-31
Rumble Roses XX,X360,Fighting,Konami,Yuke's Future Media Creators,6.5,0.13,0.07,0.04,0.01,0.01,2006-03-28
Echo Night,PS,Adventure,Agetec,From Software,6.3,0.12,0.03,0.07,0.02,0.01,1999-07-31
Tenchu: Shadow Assassins,PSP,Action,Ubisoft,From Software,7.5,0.12,0.03,0.05,0.03,0.01,2009-03-24
Lost in Shadow,Wii,Platform,Hudson Soft,Hudson Soft,6.7,0.12,0.09,0.01,0.0,0.01,2011-01-04
The Sky Crawlers: Innocent Aces,Wii,Simulation,Xseed Games,Project ACES,7.3,0.12,0.08,0.01,0.02,0.01,2010-01-12
Eat Lead: The Return of Matt Hazard,X360,Shooter,D3 Publisher,Vicious Cycle,5.5,0.12,0.1,0.0,0.01,0.01,2009-02-26
Undead Knights,PSP,Action,Tecmo,Team Tachyon,6.6,0.12,0.05,0.06,0.01,0.01,2009-09-29
The King of Fighters XII,X360,Fighting,Ignition Entertainment,SNK Playmore Corporation,6.4,0.11,0.09,0.01,0.0,0.01,2009-07-28
Prinny: Can I Really Be the Hero?,PSP,Platform,NIS America,Nippon Ichi Software,7.2,0.11,0.04,0.05,0.01,0.01,2009-02-17
BlazBlue: Continuum Shift II,3DS,Fighting,Aksys Games,Arc System Works,6.0,0.11,0.05,0.04,0.02,0.01,2011-05-31
BlazBlue: Calamity Trigger Portable,PSP,Fighting,Aksys Games,Arc System Works,7.9,0.11,0.07,0.03,0.01,0.01,2010-03-09
Calling,Wii,Adventure,Hudson Soft,Hudson Soft,4.8,0.11,0.06,0.0,0.04,0.01,2010-03-09
Ys VIII: Lacrimosa of Dana,NS,Role-Playing,NIS America,Nihon Falcom Corporation,8.5,0.11,0.03,0.03,0.03,0.01,2018-06-26
Mana Khemia: Student Alliance,PSP,Role-Playing,Nippon Ichi Software,Gust,3.2,0.11,0.06,0.03,0.0,0.01,2009-03-10
Odama,GC,Misc,Nintendo,VIVARIUM Inc.,6.5,0.11,0.07,0.02,0.02,0.0,2006-04-10
Carnage Heart,PS,Strategy,Sony Computer Entertainment,ArtDink,7.1,0.11,0.01,0.09,0.01,0.01,1997-01-31
JU-ON: The Grudge,Wii,Adventure,Xseed Games,FeelPlus,4.0,0.1,0.07,0.01,0.01,0.01,2009-10-13
Baten Kaitos Origins,GC,Role-Playing,Nintendo,tri-Crescendo / Monolith Soft,7.5,0.1,0.06,0.02,0.02,0.0,2006-09-25
Dead or Alive 5 Last Round,XOne,Fighting,Tecmo Koei,Team Ninja,7.5,0.1,0.05,0.01,0.03,0.01,2015-02-17
Steel Battalion,XB,Simulation,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",7.7,0.1,0.05,0.02,0.02,0.0,2002-11-21
Bullet Witch,X360,Shooter,Atari,Cavia Inc.,6.6,0.1,0.07,0.02,0.01,0.01,2007-02-27
Blue Dragon: Awakened Shadow,DS,Role-Playing,D3 Publisher,Mistwalker Corporation / tri-Crescendo / Bird Studio,5.7,0.1,0.06,0.03,0.0,0.0,2010-05-18
Shadow Tower,PS,Role-Playing,Agetec,From Software,5.7,0.1,0.01,0.07,0.01,0.01,1999-10-31
Opoona,Wii,Role-Playing,KOEI,ArtePiazza,6.4,0.1,0.08,0.01,0.0,0.01,2008-03-25
Mystic Heroes,GC,Action,KOEI,Koei,6.8,0.09,0.03,0.04,0.01,0.0,2002-09-30
Space Invaders Extreme,PSP,Shooter,Square Enix,"GULTI co.,ltd.",8.2,0.09,0.06,0.01,0.02,0.01,2008-06-17
Battle Fantasia,X360,Fighting,Aksys Games,Arc System Works,7.0,0.09,0.07,0.01,0.0,0.01,2008-09-16
NBA 2K18,PS3,Sports,2K Sports,Visual Concepts,7.0,0.09,0.06,0.01,0.01,0.01,2017-09-19
Killer7,PS2,Action,Capcom,Grasshopper Manufacture,6.5,0.09,0.04,0.0,0.03,0.01,2005-07-07
Theme Hospital,PS,Strategy,Electronic Arts,Krisalis Software,7.2,0.09,0.03,0.03,0.02,0.01,1998-03-31
Last Rebellion,PS3,Role-Playing,NIS America,Hit Maker,4.8,0.09,0.06,0.01,0.01,0.01,2010-02-23
Arcania: Gothic 4,X360,Role-Playing,JoWood Productions,Spellbound Entertainment AG,6.2,0.09,0.04,0.01,0.04,0.01,2010-10-19
A-Train,PS,Strategy,Maxis,ArtDink,6.0,0.08,0.02,0.04,0.01,0.01,1996-01-01
Earth Defense Force 2017,X360,Shooter,D3 Publisher,Sandlot,7.4,0.08,0.04,0.03,0.01,0.0,2007-03-20
New International Track & Field,DS,Sports,Konami,Sumo Digital,7.4,0.08,0.07,0.0,0.0,0.01,2008-07-22
Baroque,Wii,Role-Playing,Atlus,Sting,5.2,0.08,0.07,0.0,0.0,0.01,2008-04-08
Elebits: The Adventures of Kai and Zero,DS,Adventure,Konami,Konami,7.5,0.08,0.07,0.0,0.0,0.01,2009-01-06
Tank! Tank! Tank!,WiiU,Misc,Namco Bandai Games,Namco Bandai Games,4.7,0.07,0.02,0.05,0.01,0.0,2012-11-18
Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,Indies Zero,7.9,0.07,0.02,0.03,0.01,0.0,2018-06-08
The Rub Rabbits!,DS,Puzzle,Sega,Sonic Team,7.3,0.07,0.03,0.04,0.0,0.0,2006-02-13
Dragoneer's Aria,PSP,Role-Playing,NIS America,Hit Maker,5.2,0.07,0.02,0.05,0.0,0.0,2007-08-21
RPG Maker: Fes,3DS,Role-Playing,NIS America,Kadokawa Games,7.0,0.07,0.03,0.02,0.0,0.0,2017-06-27
BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,Arc System Works,8.0,0.07,0.04,0.01,0.01,0.01,2018-06-05
Vampire Rain: Altered Species,PS3,Action,Ignition Entertainment,Artoon,3.5,0.06,0.05,0.0,0.0,0.01,2008-09-02
Disgaea 1 Complete,NS,Role-Playing,NIS America,Nippon Ichi Software,8.0,0.06,0.03,0.01,0.01,0.0,2018-10-09
Warriors Orochi 2,X360,Action,KOEI,Omega Force,4.6,0.06,0.04,0.01,0.0,0.0,2008-09-23
Virtua Striker 2002,GC,Sports,Sega,Amusement Vision,6.6,0.05,0.01,0.03,0.0,0.0,2002-05-20
GrimGrimoire,PS2,Strategy,NIS America,Vanillaware,7.7,0.05,0.01,0.03,0.01,0.0,2007-06-26
Metal Gear Solid: Digital Graphic Novel,PSP,Misc,Konami,Kojima Productions,7.6,0.04,0.02,0.02,0.0,0.0,2006-06-13
Gotcha Force,GC,Shooter,Capcom,Capcom,5.8,0.03,0.01,0.01,0.0,0.0,2003-12-03
Tenkai Knights: Brave Battle,3DS,Action,Namco Bandai Games,Delta Factory,4.5,0.02,0.01,0.0,0.01,0.0,2014-10-07
